,min,diff
0,0,0.786923076923074
1,1,0.8346153846153825
2,2,0.8446153846153805
3,3,0.8476923076923057
4,4,0.7800000000000011
5,5,0.7384615384615358
6,6,0.7523076923076886
7,7,0.7776923076923055
8,8,0.7630769230769161
9,9,0.7946153846153834
10,10,0.7830769230769263
11,11,0.7076923076923123
12,12,0.6792307692307773
13,13,0.6899999999999977
14,14,0.6769230769230674
15,15,0.6515384615384505
16,16,0.6415384615384596
17,17,0.6315384615384616
18,18,0.6823076923076883
19,19,0.7030769230769209
20,20,0.6869230769230867
21,21,0.6438461538461624
22,22,0.6015384615384676
23,23,0.5123076923077008
24,24,0.5646153846153865
25,25,0.5523076923076857
26,26,0.5276923076923055
27,27,0.5538461538461519
28,28,0.583846153846153
29,29,0.6130769230769246
30,30,0.612307692307688
31,31,0.5707692307692227
32,32,0.5776923076923168
33,33,0.646153846153851
34,34,0.6892307692307753
35,35,0.7015384615384619
36,36,0.7153846153846146
37,37,0.75
38,38,0.7899999999999991
39,39,0.8230769230769184
40,40,0.8384615384615373
41,41,0.8453846153846172
42,42,0.8569230769230813
43,43,0.8753846153846183
44,44,0.9361538461538501
45,45,0.9846153846153811
46,46,0.9846153846153882
47,47,0.9476923076923072
48,48,0.8884615384615415
49,49,0.8799999999999883
50,50,0.8607692307692361
51,51,0.8276923076923168
52,52,0.672077985384611
53,53,0.7184615384615398
54,54,0.7161538461538512
55,55,0.7215384615384721
56,56,0.7292307692307674
57,57,0.7007692307692395
58,58,0.7023076923076985
59,59,0.720000000000006
60,60,0.7646153846153894
61,61,0.7623076923076937
62,62,0.7684615384615441
63,63,0.7453846153846087
64,64,0.7269230769230788
65,65,0.7492307692307776
66,66,0.7853846153846078
67,67,0.7592307692307614
68,68,0.6661538461538541
69,69,0.6284615384615435
70,70,0.6092307692307699
71,71,0.6169230769230722
72,72,0.6038461538461632
73,73,0.6015384615384605
74,74,0.54538461538462
75,75,0.42769230769230404
76,76,0.30692307692306997
77,77,0.29692307692307907
78,78,0.3169230769230822
79,79,0.2892307692307696
80,80,0.24538461538461576
81,81,0.30230769230769994
82,82,0.32538461538462116
83,83,0.3776923076923069
84,84,0.42153846153845365
85,85,0.41153846153845564
86,86,0.3946153846153848
87,87,0.37999999999999545
88,88,0.3784615384615435
89,89,0.43076923076922924
90,90,0.43076923076922924
91,91,0.4323076923076883
92,92,0.39000000000000057
93,93,0.3299999999999912
94,94,0.3500000000000014
95,95,0.4069230769230785
96,96,0.4423076923076863
97,97,0.4000000000000057
98,98,0.40846153846153044
99,99,0.4330769230769178
100,100,0.4269230769230816
101,101,0.36999999999999744
102,102,0.3592307692307699
103,103,0.3653846153846203
104,104,0.34846153846153527
105,105,0.3592307692307628
106,106,0.3484615384615495
107,107,0.285384615384622
108,108,0.29615384615384954
109,109,0.2892307692307696
110,110,0.2884615384615259
111,111,0.310769230769246
112,112,0.3692307692307679
113,113,0.3630769230769175
114,114,0.28692307692308106
115,115,0.2561538461538433
116,116,0.24846153846154806
117,117,0.25461538461538424
118,118,0.29538461538462
119,119,0.3746153846153817
120,120,0.37615384615385494
121,121,0.3907692307692301
122,122,0.4269230769230816
123,123,0.3969230769230663
124,124,0.3423076923076849
125,125,0.33230769230769397
126,126,0.3307692307692207
127,127,0.28384615384616296
128,128,0.22923076923076735
129,129,0.22538461538461974
130,130,0.2684615384615441
131,131,0.33846153846153015
132,132,0.4000000000000057
133,133,0.40615384615383476
134,134,0.45000000000000284
135,135,0.4523076923076914
136,136,0.4430769230769229
137,137,0.45000000000000284
138,138,0.4869230769230697
139,139,0.471538461538465
140,140,0.4323076923076954
141,141,0.40538461538462656
142,142,0.4030769230769309
143,143,0.40923076923076707
144,144,0.4238461538461564
145,145,0.4169230769230836
146,146,0.4423076923076863
147,147,0.4846153846153882
148,148,0.48923076923076536
149,149,0.526923076923083
150,150,0.5492307692307747
151,151,0.6030769230769337
152,152,0.6338461538461502
153,153,0.5846153846153967
154,154,0.48846153846154294
155,155,0.5446153846153905
156,156,0.5100000000000051
157,157,0.5092307692307756
158,158,0.4484615384615367
159,159,0.4230769230769269
160,160,0.38615384615385295
161,161,0.3876923076922907
162,162,0.4223076923076903
163,163,0.45384615384615046
164,164,0.4676923076923032
165,165,0.47538461538461974
166,166,0.5330769230769121
167,167,0.5461538461538424
168,168,0.5346153846153783
169,169,0.44692307692307054
170,170,0.3876923076923049
171,171,0.44769230769230717
172,172,0.4776923076923083
173,173,0.5592307692307656
174,174,0.5953846153846243
175,175,0.6061538461538447
176,176,0.5915384615384625
177,177,0.5730769230769113
178,178,0.5584615384615432
179,179,0.5476923076923015
180,180,0.5592307692307728
181,181,0.5692307692307637
182,182,0.5899999999999963
183,183,0.612307692307688
184,184,0.6361538461538458
185,185,0.5946153846153948
186,186,0.5746153846153845
187,187,0.5300000000000011
188,188,0.5346153846153854
189,189,0.572307692307696
190,190,0.6061538461538447
191,191,0.629230769230773
192,192,0.6292307692307659
193,193,0.6261538461538336
194,194,0.5838461538461459
195,195,0.5423076923077019
196,196,0.5015384615384662
197,197,0.4838461538461587
198,198,0.563846153846157
199,199,0.6515384615384647
200,200,0.6607692307692332
201,201,0.6707692307692383
202,202,0.6376923076923049
203,203,0.6038461538461632
204,204,0.575384615384607
205,205,0.6515384615384647
206,206,0.6361538461538458
207,207,0.5915384615384554
208,208,0.5569230769230771
209,209,0.5607692307692247
210,210,0.5461538461538495
211,211,0.5192307692307594
212,212,0.4884615384615216
213,213,0.4638461538461556
214,214,0.49846153846154806
215,215,0.4969230769230748
216,216,0.4769230769230717
217,217,0.461538461538467
218,218,0.4269230769230816
219,219,0.41846153846154266
220,220,0.43153846153846587
221,221,0.40153846153846473
222,222,0.3313087546153852
223,223,0.4799999999999969
224,224,0.5523076923076928
225,225,0.5330769230769121
226,226,0.5292307692307716
227,227,0.5069230769230799
228,228,0.5523076923076928
229,229,0.5630769230769204
230,230,0.4876923076923134
231,231,0.44999999999999574
232,232,0.4353846153846206
233,233,0.4130769230769218
234,234,0.43384615384615444
235,235,0.45384615384614335
236,236,0.43153846153846587
237,237,0.41769230769230603
238,238,0.4361538461538501
239,239,0.45615384615385324
240,240,0.4199999999999946
241,241,0.3853846153846163
242,242,0.42769230769231115
243,243,0.5169230769230779
244,244,0.5323076923077039
245,245,0.48846153846154294
246,246,0.4907692307692244
247,247,0.48923076923077957
248,248,0.4900000000000091
249,249,0.5030769230769252
250,250,0.4746153846153902
251,251,0.47538461538461974
252,252,0.4776923076923012
253,253,0.4476923076923143
254,254,0.45384615384615046
255,255,0.4907692307692244
256,256,0.5276923076923055
257,257,0.5330769230769263
258,258,0.5830769230769235
259,259,0.5961538461538609
